manifesto_id,filename,path,municipality,state,party,party_abbreviation,election_year,election_type,document_type,mapping_method,mapping_status,city_abbreviation
GLMP-4E7A5F947B,em06spd.txt,manifestos/em06spd.txt,Emden,Niedersachsen,SPD,spd,2006.0,local election,Wahlprogramm,legacy_filename,ok,em
GLMP-544382A18A,ff06cdu.txt,manifestos/ff06cdu.txt,Frankfurt am Main,Hessen,CDU,cdu,2006.0,local election,Wahlprogramm,legacy_filename,ok,ff
GLMP-5928515E39,ff06lin.txt,manifestos/ff06lin.txt,Frankfurt am Main,Hessen,Die Linke,lin,2006.0,local election,Wahlprogramm,legacy_filename,ok,ff
GLMP-C43D29D662,ff06eul.txt,manifestos/ff06eul.txt,Frankfurt am Main,Hessen,Europa-Liste Frankfurt,eul,2006.0,local election,Wahlprogramm,legacy_filename,ok,ff
GLMP-08413D063A,ff06fag.txt,manifestos/ff06fag.txt,Frankfurt am Main,Hessen,FlughafenAusbauGegner,fag,2006.0,local election,Wahlprogramm,legacy_filename,ok,ff
GLMP-E06856AF7D,ff06gru.txt,manifestos/ff06gru.txt,Frankfurt am Main,Hessen,Grüne,gru,2006.0,local election,Wahlprogramm,legacy_filename,ok,ff
GLMP-0DCD437833,ff06oek.txt,manifestos/ff06oek.txt,Frankfurt am Main,Hessen,ÖkoLinX-ARL,oek,2006.0,local election,Wahlprogramm,legacy_filename,ok,ff
GLMP-EDAF772468,hv06cdu.txt,manifestos/hv06cdu.txt,Hannover,Niedersachsen,CDU,cdu,2006.0,local election,Wahlprogramm,legacy_filename,ok,hv
GLMP-DAA094C6B5,hv06spd.txt,manifestos/hv06spd.txt,Hannover,Niedersachsen,SPD,spd,2006.0,local election,Wahlprogramm,legacy_filename,ok,hv
GLMP-632DE91C78,ka06cdu.txt,manifestos/ka06cdu.txt,Kassel,Hessen,CDU,cdu,2006.0,local election,Wahlprogramm,legacy_filename,ok,ka
GLMP-823BECBE11,ka06lin.txt,manifestos/ka06lin.txt,Kassel,Hessen,Die Linke,lin,2006.0,local election,Wahlprogramm,legacy_filename,ok,ka
GLMP-743AD81778,ka06fwg.txt,manifestos/ka06fwg.txt,Kassel,Hessen,Freie Wähler,fwg,2006.0,local election,Wahlprogramm,legacy_filename,ok,ka
GLMP-A0B5124F9C,ka06gru.txt,manifestos/ka06gru.txt,Kassel,Hessen,Grüne,gru,2006.0,local election,Wahlprogramm,legacy_filename,ok,ka
GLMP-62ECBB8E54,ka06spd.txt,manifestos/ka06spd.txt,Kassel,Hessen,SPD,spd,2006.0,local election,Wahlprogramm,legacy_filename,ok,ka
GLMP-09A7F5ECD3,of06lin.txt,manifestos/of06lin.txt,Offenbach am Main,Hessen,Die Linke,lin,2006.0,local election,Wahlprogramm,legacy_filename,ok,of
GLMP-101791B860,of06fdp.txt,manifestos/of06fdp.txt,Offenbach am Main,Hessen,FDP,fdp,2006.0,local election,Wahlprogramm,legacy_filename,ok,of
GLMP-78CDA2F554,of06gru.txt,manifestos/of06gru.txt,Offenbach am Main,Hessen,Grüne,gru,2006.0,local election,Wahlprogramm,legacy_filename,ok,of
GLMP-08187B708E,ol06fdp.txt,manifestos/ol06fdp.txt,Oldenburg,Niedersachsen,FDP,fdp,2006.0,local election,Wahlprogramm,legacy_filename,ok,ol
GLMP-2D4F16A88D,ol06gru.txt,manifestos/ol06gru.txt,Oldenburg,Niedersachsen,Grüne,gru,2006.0,local election,Wahlprogramm,legacy_filename,ok,ol
GLMP-32EE5FC4F6,ol06spd.txt,manifestos/ol06spd.txt,Oldenburg,Niedersachsen,SPD,spd,2006.0,local election,Wahlprogramm,legacy_filename,ok,ol
GLMP-C8CD4DD86D,sa06spd.txt,manifestos/sa06spd.txt,Salzgitter,Niedersachsen,SPD,spd,2006.0,local election,Wahlprogramm,legacy_filename,ok,sa
GLMP-C32354A867,wi06blw.txt,manifestos/wi06blw.txt,Wiesbaden,Hessen,Bürgerliste Wiesbaden,blw,2006.0,local election,Wahlprogramm,legacy_filename,ok,wi
GLMP-3863DF0E6F,wi06lin.txt,manifestos/wi06lin.txt,Wiesbaden,Hessen,Die Linke,lin,2006.0,local election,Wahlprogramm,legacy_filename,ok,wi
GLMP-1EBA4B7028,wi06fdp.txt,manifestos/wi06fdp.txt,Wiesbaden,Hessen,FDP,fdp,2006.0,local election,Wahlprogramm,legacy_filename,ok,wi
GLMP-CEEFBFDB0A,wi06spd.txt,manifestos/wi06spd.txt,Wiesbaden,Hessen,SPD,spd,2006.0,local election,Wahlprogramm,legacy_filename,ok,wi
GLMP-35B5215B24,wv06fdp.txt,manifestos/wv06fdp.txt,Wilhelmshaven,Niedersachsen,FDP,fdp,2006.0,local election,Wahlprogramm,legacy_filename,ok,wv
GLMP-9DC2A70FDA,lb08bfl.txt,manifestos/lb08bfl.txt,Luebeck,Schleswig-Holstein,Bürger für Lübeck,bfl,2008.0,local election,Wahlprogramm,legacy_filename,ok,lb
GLMP-949EA36C8A,lb08gru.txt,manifestos/lb08gru.txt,Luebeck,Schleswig-Holstein,Grüne,gru,2008.0,local election,Wahlprogramm,legacy_filename,ok,lb
