state_name;state;rb;kreis;vb;gem;city;area;inhabitants_2024;
Bayern;;;;;nu;Nürnberg;186,44;529508;
Nordrhein-Westfalen;;;;;ob;Oberhausen;77,09;213646;
Sachsen;14;5;24;0230;230;Oberlungwitz;14,68;5827;
Saarland;10;0;46;0116;116;Oberthal;23,87;5978;
Sachsen-Anhalt;15;0;83;0411;411;Oebisfelde-Weferlingen;249,36;13566;
Baden-Württemberg;8;1;25;5001;078;Oedheim;21,24;6598;
Hessen;;;;;of;Offenbach am Main;44,88;132746;
Baden-Württemberg;8;3;17;5010;096;Offenburg;78,37;61670;
Niedersachsen;;;;;;Oldenburg;103,09;177222;
Niedersachsen;;;;;os;Osnabrück;119,8;166057;
Rheinland-Pfalz;7;3;31;5007;055;Osthofen;18,62;9736;
Saarland;10;0;43;0115;115;Ottweiler;45,56;14543;
Nordrhein-Westfalen;;;;;pb;Paderborn;179,59;156378;
Mecklenburg-Vorpommern;13;0;75;0105;105;Pasewalk;55,21;9811;
Sachsen-Anhalt;15;0;88;0295;295;Petersberg;102,69;9366;
Baden-Württemberg;8;2;31;0000;000;Pforzheim;97,99;134912;
Mecklenburg-Vorpommern;13;0;76;5663;114;Plau am See;116,27;6231;
Sachsen;14;5;23;0320;320;Plauen;102,11;64763;
Thüringen;16;0;75;0085;085;Pößneck;24,43;11752;
Brandenburg;12;0;54;0000;000;Potsdam;188,24;184754;
Brandenburg;12;0;63;0244;244;Premnitz;46,27;8335;
Rheinland-Pfalz;7;2;32;5006;296;Prüm;22,86;5536;
Sachsen;14;6;25;5231;450;Pulsnitz;26,76;7359;
Brandenburg;12;0;72;0340;340;Rangsdorf;33,79;11695;
Rheinland-Pfalz;7;1;43;5005;062;Ransbach-Baumbach;12,15;8082;
Baden-Württemberg;8;2;16;5005;043;Rastatt;58,98;51310;
Baden-Württemberg;8;4;36;5005;064;Ravensburg;92,05;51482;
Nordrhein-Westfalen;;;;;re;Recklinghausen;66,5;115344;
Bayern;;;;;rg;Regensburg;80,86;151389;
