filename;content_hash;bytes;document_type;program_scope;classification_reason;municipality_used;party;election_year;matched_main_by_content;matched_main_filenames;document_id;main_use_id;ags;ags_source
Sömmerda_CDU_2024.txt;32a0deac1cb97cf98d075f313d5be191cd3c109a4cf616886e81363f1701db06;9955;anderes kommunales Wahlprogramm;Landkreis und Gemeinden;explizite Doppeladressierung Kreis/Gemeinden;Sömmerda;CDU;2024;no;;DOC-32a0deac1cb9;;16068051;local_cities_components
Sömmerda_FDP_2024.txt;feb75a3a5a8313b39e3f685b832f40c799b358d9ceac3acd5fa9ba7459eb3721;1875;anderes kommunales Wahlprogramm;Landkreis;expliziter Kreis-/Landkreisbezug;Sömmerda;FDP;2024.0;yes;Sömmerda_FDP_2024.txt;DOC-feb75a3a5a83;USE-343a4a26b141;16068051;local_cities_components
Sömmerda_Grüne_2024.txt;8e1da8b7249df7934fdbb168965eb1886b37d58ac5ff15fc6d86d7261c894c6e;1089;anderes kommunales Wahlprogramm;Landkreis;expliziter Kreis-/Landkreisbezug;Sömmerda;Grüne;2024.0;yes;Sömmerda_Grüne_2024.txt;DOC-8e1da8b7249d;USE-6e39e52646ec;16068051;local_cities_components
Sömmerda_SPD_2024.txt;a1d4c79030e18cbc7d1bbf02e5a84612fca9963307c252a1f20f30230b45aa12;38555;anderes kommunales Wahlprogramm;Landkreis und Gemeinden;explizite Doppeladressierung Kreis/Gemeinden;Sömmerda;SPD;2024.0;yes;Sömmerda_SPD_2024.txt;DOC-a1d4c79030e1;USE-a8967d3b0bad;16068051;local_cities_components
Tholey_FDP_2024.txt;8750e64ca370a7f8d28efc62e94bf298bdfa662497c3be14b877bdc2ffc8f3a8;9282;anderes kommunales Wahlprogramm;Landkreis;expliziter Kreis-/Landkreisbezug;Tholey;FDP;2024.0;yes;Tholey_FDP_2024.txt;DOC-8750e64ca370;USE-5dfc490b01b9;10046118;local_cities_components
Traben-Trarbach_CDU_2024.txt;070f4d6e31275440d03f34a093074eed50c5454075320a2173dba7e05e0d5b8a;43715;anderes kommunales Wahlprogramm;Land;Landesverband/Landesebene explizit;Traben-Trarbach;CDU;2024;no;;DOC-070f4d6e3127;;07231124;local_cities_components
Traben-Trarbach_FWG_2024.txt;34d92643f9a1b158e14ffc3e28338bad042959551754bffd04448c6bdbe27147;38169;anderes kommunales Wahlprogramm;Landkreis;expliziter Kreis-/Landkreisbezug;Traben-Trarbach;FWG;2024.0;yes;Traben-Trarbach_FWG_2024.txt;DOC-34d92643f9a1;USE-f42c2de6d961;07231124;local_cities_components
Traben-Trarbach_Grüne_2024.txt;f030cc86525b850eff83252a663ce273a64c25777754980e347f6074cc38d342;22513;anderes kommunales Wahlprogramm;Landkreis und Gemeinden;explizite Doppeladressierung Kreis/Gemeinden;Traben-Trarbach;Grüne;2024.0;yes;Traben-Trarbach_Grüne_2024.txt;DOC-f030cc86525b;USE-2ad5a21d3bb6;07231124;local_cities_components
Traben-Trarbach_SPD_2024.txt;d8f4e016eaff4f4a2f030f33e7768b29d8f6967642dcefb4476be45b2fbb4382;41150;anderes kommunales Wahlprogramm;Land;SPD Rheinland-Pfalz kommunalpolitische Leitlinien;Traben-Trarbach;SPD;2024.0;yes;Traben-Trarbach_SPD_2024.txt;DOC-d8f4e016eaff;USE-d42351c0e921;07231124;local_cities_components
Ulm_FWG_2024.txt;e178b73cd6ffc07bb8ad0f28d78e45a68dcccd3711fc82b77ac0d49b5c60b10d;1804;Grundsatzprogramm;übergeordnet;document explicitly headed GRUNDSÄTZE and states general principles of Freie Wähler;Ulm;FWG;2024.0;yes;Ulm_FWG_2024.txt;DOC-e178b73cd6ff;USE-0e184e481292;08421000;local_cities_components
