document_use_id;document_id;manifesto_id;municipality;state;ags;party;party_abbreviation;election_year;document_type;program_scope;use_type;filename;source;content_hash;ags_source
USE-f7756e173946;DOC-6c54e3853445;GLMP-A044D9E4CA;Krefeld;Nordrhein-Westfalen;05114000;CDU;cdu;1999.0;Kommunalwahlprogramm Gemeinde;Gemeinde;main_corpus_observation;kr99cdu.txt;main;6c54e38534456dd4f1b680714f97f7216d91353463733ea4bcf7c29e6b6db8d1;manual_2024_reference
USE-a34a073cfb3e;DOC-a372c285ece3;GLMP-C24D4C250D;Leverkusen;Nordrhein-Westfalen;05316000;CDU;cdu;1999.0;Kommunalwahlprogramm Gemeinde;Gemeinde;main_corpus_observation;le99cdu.txt;main;a372c285ece34d85c84544e354ae31bd8de5f8387971363c85b0726606020c68;manual_2024_reference
USE-df5407accc7c;DOC-8ae350372c93;GLMP-87BE07890E;Moenchengladbach;Nordrhein-Westfalen;05116000;FDP;fdp;1999.0;Kommunalwahlprogramm Gemeinde;Gemeinde;main_corpus_observation;mg99fdp.txt;main;8ae350372c930e9b458dae19378f0546cf65ed503eda5b5d86e5075fff93435c;manual_2024_reference
USE-2c0f51519bdd;DOC-32fa6ef09c6d;GLMP-C9FB6B62C5;Moers;Nordrhein-Westfalen;05170024;CDU;cdu;1999.0;Kommunalwahlprogramm Gemeinde;Gemeinde;main_corpus_observation;mo99cdu.txt;main;32fa6ef09c6dd41f01f9579ba8e722c445202dd5561f683e65d47598c752b54f;manual_2024_reference
USE-23b6be9a4bd4;DOC-6d04cf839081;GLMP-45BA6CAEE3;Muelheim an der Ruhr;Nordrhein-Westfalen;05117000;Mülheimer Bürger Initiative;mbi;1999.0;Kommunalwahlprogramm Gemeinde;Gemeinde;main_corpus_observation;mh99mbi.txt;main;6d04cf83908124bf5018ad38d56812757e8bd0e67c367a841c8daaf5ad893fe1;manual_2024_reference
USE-ca30279859f1;DOC-5ce650e95e06;GLMP-682C28E632;Neuss;Nordrhein-Westfalen;05162024;SPD;spd;1999.0;Kommunalwahlprogramm Gemeinde;Gemeinde;main_corpus_observation;ne99spd.txt;main;5ce650e95e063a45f2ba7911440bd32522a642b1677891c8268792c96d9e256c;manual_2024_reference
USE-652182b99ca3;DOC-f30e052685bf;GLMP-3F92E72C89;Oberhausen;Nordrhein-Westfalen;05119000;CDU;cdu;1999.0;Kommunalwahlprogramm Gemeinde;Gemeinde;main_corpus_observation;ob99cdu.txt;main;f30e052685bf9bba4f7cde5a7fe279d5c200dd906f0b5973d97fcb4445e377c1;manual_2024_reference
USE-56ca0ce9212d;DOC-dd68ea1fbcb5;GLMP-4E1FA8FBB6;Siegen;Nordrhein-Westfalen;05970040;Grüne;gru;1999.0;Kommunalwahlprogramm Gemeinde;Gemeinde;main_corpus_observation;si99gru.txt;main;dd68ea1fbcb51d8b490686cc23db1bd1775fd29b89ae9fc5db047804ef580453;manual_2024_reference
USE-0f5c69b70c77;DOC-cb5717d4a6b4;GLMP-45D856A0FF;Wuppertal;Nordrhein-Westfalen;05124000;Grüne;gru;1999.0;Kommunalwahlprogramm Gemeinde;Gemeinde;main_corpus_observation;wu99gru.txt;main;cb5717d4a6b4e1e458f0eed6323a55cc9a23a9f1b515bd0c4f00ca57f221740a;manual_2024_reference
USE-6e6aab460725;DOC-76e9b62da455;GLMP-7A36313E1D;Darmstadt;Hessen;06411000;Die Frauen;die;2001.0;Kommunalwahlprogramm Gemeinde;Gemeinde;main_corpus_observation;da01die.txt;main;76e9b62da4556e16fa11269e002ddc89f1c2f2d7e54a12bbbae9f3da7fef37b1;manual_2024_reference
USE-430fd118eef0;DOC-63937c824176;GLMP-A3F70A2B00;Darmstadt;Hessen;06411000;SPD;spd;2001.0;Kommunalwahlprogramm Gemeinde;Gemeinde;main_corpus_observation;da01spd.txt;main;63937c8241767e3fa0af4c4026bac194b8b73a293e9f9dec6431f46c40e5b766;manual_2024_reference
USE-4d73e0d2c236;DOC-ffb8fc0dc8a3;GLMP-EB59D5802F;Frankfurt am Main;Hessen;06412000;CDU;cdu;2001.0;Kommunalwahlprogramm Gemeinde;Gemeinde;main_corpus_observation;ff01cdu.txt;main;ffb8fc0dc8a33f4276c45d2fbf966a46ed3ea29d37df7438ecb6c27f684c8006;manual_2024_reference
