source;filename;content_hash;bytes;manifesto_id;municipality;state;party;party_abbreviation;election_year;document_type;program_scope;classification_reason;path
main;mo99cdu.txt;32fa6ef09c6dd41f01f9579ba8e722c445202dd5561f683e65d47598c752b54f;19523;GLMP-C9FB6B62C5;Moers;Nordrhein-Westfalen;CDU;cdu;1999.0;Kommunalwahlprogramm Gemeinde;Gemeinde;Hauptkorpus: kommunales Wahlprogramm der Gemeinde;manifestos/mo99cdu.txt
main;mh99mbi.txt;6d04cf83908124bf5018ad38d56812757e8bd0e67c367a841c8daaf5ad893fe1;29823;GLMP-45BA6CAEE3;Muelheim an der Ruhr;Nordrhein-Westfalen;Mülheimer Bürger Initiative;mbi;1999.0;Kommunalwahlprogramm Gemeinde;Gemeinde;Hauptkorpus: kommunales Wahlprogramm der Gemeinde;manifestos/mh99mbi.txt
main;ne99spd.txt;5ce650e95e063a45f2ba7911440bd32522a642b1677891c8268792c96d9e256c;74934;GLMP-682C28E632;Neuss;Nordrhein-Westfalen;SPD;spd;1999.0;Kommunalwahlprogramm Gemeinde;Gemeinde;Hauptkorpus: kommunales Wahlprogramm der Gemeinde;manifestos/ne99spd.txt
main;ob99cdu.txt;f30e052685bf9bba4f7cde5a7fe279d5c200dd906f0b5973d97fcb4445e377c1;45446;GLMP-3F92E72C89;Oberhausen;Nordrhein-Westfalen;CDU;cdu;1999.0;Kommunalwahlprogramm Gemeinde;Gemeinde;Hauptkorpus: kommunales Wahlprogramm der Gemeinde;manifestos/ob99cdu.txt
main;si99gru.txt;dd68ea1fbcb51d8b490686cc23db1bd1775fd29b89ae9fc5db047804ef580453;53152;GLMP-4E1FA8FBB6;Siegen;Nordrhein-Westfalen;Grüne;gru;1999.0;Kommunalwahlprogramm Gemeinde;Gemeinde;Hauptkorpus: kommunales Wahlprogramm der Gemeinde;manifestos/si99gru.txt
main;wu99gru.txt;cb5717d4a6b4e1e458f0eed6323a55cc9a23a9f1b515bd0c4f00ca57f221740a;153384;GLMP-45D856A0FF;Wuppertal;Nordrhein-Westfalen;Grüne;gru;1999.0;Kommunalwahlprogramm Gemeinde;Gemeinde;Hauptkorpus: kommunales Wahlprogramm der Gemeinde;manifestos/wu99gru.txt
main;da01die.txt;76e9b62da4556e16fa11269e002ddc89f1c2f2d7e54a12bbbae9f3da7fef37b1;2435;GLMP-7A36313E1D;Darmstadt;Hessen;Die Frauen;die;2001.0;Kommunalwahlprogramm Gemeinde;Gemeinde;Hauptkorpus: kommunales Wahlprogramm der Gemeinde;manifestos/da01die.txt
main;da01spd.txt;63937c8241767e3fa0af4c4026bac194b8b73a293e9f9dec6431f46c40e5b766;42546;GLMP-A3F70A2B00;Darmstadt;Hessen;SPD;spd;2001.0;Kommunalwahlprogramm Gemeinde;Gemeinde;Hauptkorpus: kommunales Wahlprogramm der Gemeinde;manifestos/da01spd.txt
main;ff01cdu.txt;ffb8fc0dc8a33f4276c45d2fbf966a46ed3ea29d37df7438ecb6c27f684c8006;108482;GLMP-EB59D5802F;Frankfurt am Main;Hessen;CDU;cdu;2001.0;Kommunalwahlprogramm Gemeinde;Gemeinde;Hauptkorpus: kommunales Wahlprogramm der Gemeinde;manifestos/ff01cdu.txt
main;ff01die.txt;803a14ab89fb1525b9b02dc9952c6bbf077665562b8d87ddfade52a6da0adf15;11498;GLMP-5FCF999922;Frankfurt am Main;Hessen;Die Frauen;die;2001.0;Kommunalwahlprogramm Gemeinde;Gemeinde;Hauptkorpus: kommunales Wahlprogramm der Gemeinde;manifestos/ff01die.txt
main;ff01fag.txt;f937ee3e2e121401ec0916382d877edd7d5d1293c2926921e146d0680cc7bb3f;23568;GLMP-D3D6636029;Frankfurt am Main;Hessen;FlughafenAusbauGegner;fag;2001.0;Kommunalwahlprogramm Gemeinde;Gemeinde;Hauptkorpus: kommunales Wahlprogramm der Gemeinde;manifestos/ff01fag.txt
main;ka01cdu.txt;38f867d70f61e1f45cb2897a6ab42d09ab2d191ba57b079b728a540984d9fca6;63110;GLMP-4B14C4AAE2;Kassel;Hessen;CDU;cdu;2001.0;Kommunalwahlprogramm Gemeinde;Gemeinde;Hauptkorpus: kommunales Wahlprogramm der Gemeinde;manifestos/ka01cdu.txt
main;ka01lin.txt;e75244b098653a943ddc1cee61557aa0363a04e3171f8b82fe3f279bfcbc656a;52585;GLMP-7435AB24C0;Kassel;Hessen;Die Linke;lin;2001.0;Kommunalwahlprogramm Gemeinde;Gemeinde;Hauptkorpus: kommunales Wahlprogramm der Gemeinde;manifestos/ka01lin.txt
main;ka01fdp.txt;d28af60cbe68fac67c7431318858c019d319709b216c3d9cb7c46c3256f04203;25388;GLMP-3113A5A9AD;Kassel;Hessen;FDP;fdp;2001.0;Kommunalwahlprogramm Gemeinde;Gemeinde;Hauptkorpus: kommunales Wahlprogramm der Gemeinde;manifestos/ka01fdp.txt
