document_id;filename;document_type;program_scope;election_year;content_hash;bytes;source_count;main_file_count;other_file_count
DOC-095b2f803961;ks14lin.txt;Kommunalwahlprogramm Gemeinde;Gemeinde;2014.0;095b2f803961ccb51d4bcc61c9608cf517efa2bd2ff02651660152c9f3f43385;5724;1;1;0
DOC-0993ebf01ac7;he20fdp.txt;Kommunalwahlprogramm Gemeinde;Gemeinde;2020.0;0993ebf01ac7570a6b41149f0674afc33401e4d553ec93b36376a0ed44b5469a;78719;1;1;0
DOC-09ae7368ac35;co14afd.txt;Kommunalwahlprogramm Gemeinde;Gemeinde;2014.0;09ae7368ac35c0378d35da97e20653e708f9a9449f426e6aa217233ffa9a3dca;10562;1;1;0
DOC-09cd816e45cb;Dresden_CDU_2024.txt;Kommunalwahlprogramm Gemeinde;Gemeinde;2024.0;09cd816e45cbfc810cd680d6b7bd7afbe731beefcf0ead776d405441106b6a4b;37316;1;1;0
DOC-09e1c6a84858;pb20lin.txt;Kommunalwahlprogramm Gemeinde;Gemeinde;2020.0;09e1c6a84858d1bb704bface1b627ff78f64fad88519a3f176f7ec79630524d8;28188;1;1;0
DOC-0a494827339b;kb19cdu.txt;Kommunalwahlprogramm Gemeinde;Gemeinde;2019.0;0a494827339b57d4acf542d36ffd8f10780422e5742e51dd0990b9f1f632df21;22629;1;1;0
DOC-0a52c7cabd0a;Jena_Die Basis_2024.txt;Kommunalwahlprogramm Gemeinde;Gemeinde;2024.0;0a52c7cabd0a135b18dc64aabd6aa170861f84200403862fdc43041cdcc745a4;19436;1;1;0
DOC-0a6c89c13948;bo09fdp.txt;Kommunalwahlprogramm Gemeinde;Gemeinde;2009.0;0a6c89c13948989a26820e81673daca97290170709cc30df4956687f8c853426;48028;1;1;0
DOC-0a830fe7ad04;fu14fdp.txt;Kommunalwahlprogramm Gemeinde;Gemeinde;2014.0;0a830fe7ad040f573b71f11d10bf2fbe41ed85d041a780299394ecb924d6c316;3488;1;1;0
DOC-0a854cbdd932;Dresden_Die Partei_2024.txt;Kommunalwahlprogramm Gemeinde;Gemeinde;2024.0;0a854cbdd9328113e5fd3fa4f9d093d8f1d9d6f97d812ee587ad3485256c8b21;1935;1;1;0
DOC-0aab1cb88516;es09fdp.txt;Kommunalwahlprogramm Gemeinde;Gemeinde;2009.0;0aab1cb885166b6b96264ff6958b65129b535003fc28d2e9ea490c27d70bd6c8;33729;1;1;0
DOC-0ab38cba10e7;ge14gru.txt;Kommunalwahlprogramm Gemeinde;Gemeinde;2014.0;0ab38cba10e7cb1accba215f925c894849fe0060992c48b523855ee7f5d8c90c;39826;1;1;0
DOC-0ab85ecfcb6f;Ebersbach-Neugersdorf_Grüne_2024.txt;anderes kommunales Wahlprogramm;Landkreis und Gemeinden;2024.0;0ab85ecfcb6ff3c834a03d647a75a0bd516cdbd46711ca98069b30053925c603;19582;2;1;1
DOC-0abd06edc4bb;Eberswalde_Grüne_2024.txt;Kommunalwahlprogramm Gemeinde;Gemeinde;2024.0;0abd06edc4bba756d4721d54186f7ae613ab9d7cca8fa9ea700412d0db45e877;20423;1;1;0
DOC-0adee750734c;Sundhagen_Linke_2024.txt;anderes kommunales Wahlprogramm;Land;2024.0;0adee750734cbeccecf819b43c4b84c6e1fb55c94aba61b80c52df90cc474b06;18440;2;1;1
DOC-0b0aabbb52b9;ds09gru.txt;Kommunalwahlprogramm Gemeinde;Gemeinde;2009.0;0b0aabbb52b9b979f7a9293b9256b711754573d5d31f5f40813d02d62e602bcb;146198;1;1;0
DOC-0b5765c2119f;ks14spd.txt;Kommunalwahlprogramm Gemeinde;Gemeinde;2014.0;0b5765c2119f1758c1eaffec243e21967ef2ce04d98ed24d6cd534efa6c0c220;31773;1;1;0
DOC-0b586447879a;Stuttgart_Children First_2024.txt;Kommunalwahlprogramm Gemeinde;Gemeinde;2024.0;0b586447879a97f6e41c3af583c83075ab51a35fc7dbd2cf11e6c52e72583993;3306;1;1;0
DOC-0b62ee558a3a;Ravensburg_Grüne_2024.txt;Kommunalwahlprogramm Gemeinde;Gemeinde;2024.0;0b62ee558a3adf245fb0f23777e562ca26ba65d955a73782309332bda1bf9442;2509;1;1;0
DOC-0b6ba3066990;mo94cdu.txt;Kommunalwahlprogramm Gemeinde;Gemeinde;1994.0;0b6ba3066990c1a0df038ec0e94ecfa24bfc8300d6386ff00f8a4058e1749893;26244;1;1;0
DOC-0b802d147205;gt20uwg.txt;Kommunalwahlprogramm Gemeinde;Gemeinde;2020.0;0b802d14720575cf966caca2e55c88ac3bd51d502f9bd296e78ff4e98a4442b8;39634;1;1;0
DOC-0b81c2e1e103;em11spd.txt;Kommunalwahlprogramm Gemeinde;Gemeinde;2011.0;0b81c2e1e103244d9c27b62b54bcdd85c611de1b9e8ede2db53525171fff1172;18317;1;1;0
DOC-0b92b7f7da45;mu20csu.txt;Kommunalwahlprogramm Gemeinde;Gemeinde;2020.0;0b92b7f7da45d44d9d77558550570738b3c7eb02ce2a1fa82ca95e0fe56d1fa0;128865;1;1;0
DOC-0bb2ccf601a2;wu14spd.txt;Kommunalwahlprogramm Gemeinde;Gemeinde;2014.0;0bb2ccf601a2aa68f90f13dabef51e4416cc248ffaa3dcf0247cd174802ec338;76607;1;1;0
DOC-0bde892d0659;lb13gru.txt;Kommunalwahlprogramm Gemeinde;Gemeinde;2013.0;0bde892d06598f7ca2737a4f91ed53aacfe9840ac83487a1bd4651a7dd47ff72;16477;1;1;0
DOC-0c0163136c9a;Waiblingen_GRÜNT_2024.txt;Kommunalwahlprogramm Gemeinde;Gemeinde;2024.0;0c0163136c9a074fd476272fb4466033693d43d86d0add9dd43a7976a1fbb7a1;4731;1;1;0
DOC-0c584e6f6683;Neubrandenburg_CDU_2024.txt;anderes kommunales Wahlprogramm;Landkreis und Gemeinden;2024.0;0c584e6f6683b05a86981f3d81821218e87b2f9eb6490f0ae11cf378faf7a5ef;12031;2;1;1
DOC-0c60a7f0d19a;Schleiz_FDP_2024.txt;Kommunalwahlprogramm Gemeinde;Gemeinde;2024.0;0c60a7f0d19a4216eccf331175c17e157f4ee28aba00d5734d6ad8d518666d32;3602;1;1;0
DOC-0c743808e1ee;ge20win.txt;Kommunalwahlprogramm Gemeinde;Gemeinde;2020.0;0c743808e1eec6d81ae5f00fd4ac729952b86bc041049ace77bb51e569d13dc4;17618;1;1;0
